"referencing_table","referencing_column","referenced_table","referenced_column"
tempTDN,TDNID,View_TDNCoOwners,TDNID
CoOwners,coOwnerID,View_TDNCoOwners,coOwnerID
CoOwners,TDNID,TDNPreviousARP,TDNID
View_TDNCoOwners,TDNID,TDNPreviousARP,TDNID
TDNMachine,TDNID,TDNPreviousARP,TDNID
TDNPreviousPIN,TDNID,TDNPreviousARP,TDNID
view_TDNSearchLookUpCityBased,TDNID,TDNPreviousARP,TDNID
view_TDNSearchLookUpProvinceBased,TDNID,TDNPreviousARP,TDNID
view_TDNTaxDecProvince,TDNID,TDNPreviousARP,TDNID
view_TaxDecDetail,TDNID,TDNPreviousARP,TDNID
CertifiedTrueCopyTable,TDNID,TDNPreviousARP,TDNID
view_TDNTaxDecCity,TDNID,TDNPreviousARP,TDNID
TDN_Attachment,TDNID,TDNPreviousARP,TDNID
View_FAASBuilding,TDNId,TDNPreviousARP,TDNID
TDNDetail,TDNId,TDNPreviousARP,TDNID
TDN_Images,TDNID,TDNPreviousARP,TDNID
View_FAASImprovement,TDNId,TDNPreviousARP,TDNID
TDNBaseValueAdjustment,TDNId,TDNPreviousARP,TDNID
View_TDNLandBackTax,TDNID,TDNPreviousARP,TDNID
TDNLand,TDNID,TDNPreviousARP,TDNID
TDNBackTax,TDNID,TDNPreviousARP,TDNID
TDNBuilding,TDNID,TDNPreviousARP,TDNID
View_PrintTaxDecProvince,TDNID,TDNPreviousARP,TDNID
tempMachdb,TDNID,TDNPreviousARP,TDNID
TDNFAASSketch,TDNID,TDNPreviousARP,TDNID
ImageCache,TDNID,TDNPreviousARP,TDNID
TDNHistory,TDNID,TDNPreviousARP,TDNID
View_TDNLandDetail,TDNID,TDNPreviousARP,TDNID
View_TDNLandAppraisal,TDNID,TDNPreviousARP,TDNID
view_MachineApraisal,TDNID,TDNPreviousARP,TDNID
View_TDNDetail,TDNId,TDNPreviousARP,TDNID
View_TDNBuildingDetail,TDNID,TDNPreviousARP,TDNID
View_PrintTaxDecCity,TDNID,TDNPreviousARP,TDNID
TOStempQuarterlyRPTC,TDNID,TDNPreviousARP,TDNID
View_DemolishedProp,TDNID,TDNPreviousARP,TDNID
TDN,TDNID,TDNPreviousARP,TDNID
stagtbl,TDNID,TDNPreviousARP,TDNID
view_TDNLandImprovements,TDNID,TDNPreviousARP,TDNID
tempTDN,TDNID,TDNPreviousARP,TDNID
TDNBuildingSucceedingFloor,TDNBuildingID,TDNBuildingRoofing,TDNBuildingId
TDNBuildingDetail,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
View_TDNBuildingDetail,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingWallsPartitions,TDNBuildingID,TDNBuildingRoofing,TDNBuildingId
TDNBuildingElectrical,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingStairs,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
View_FAASBuilding,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingWallFinish,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingToiletBath,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingPlumbingSewer,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingFixtures,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingBeam,TDNBuildingID,TDNBuildingRoofing,TDNBuildingId
TDNBuildingTrussFraming,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingExteriorWalls,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingDoor,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingCeiling,TDNBuildingID,TDNBuildingRoofing,TDNBuildingId
TDNBuildingWindow,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingAdditionalItem,TDNBuildingID,TDNBuildingRoofing,TDNBuildingId
TDNBuilding,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingFloor,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingColumn,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNBuildingFoundation,TDNBuildingID,TDNBuildingRoofing,TDNBuildingId
TDNBuildingFlooring,TDNBuildingId,TDNBuildingRoofing,TDNBuildingId
TDNMachineDetail,TDNMachineId,TDNMachine,TDNMachineId
tempMachdb,TDNMachineId,TDNMachine,TDNMachineId
view_MachineApraisal,TDNMachineId,TDNMachine,TDNMachineId
CoOwners,TDNID,TDNMachine,TDNID
View_TDNCoOwners,TDNID,TDNMachine,TDNID
TDNPreviousARP,TDNID,TDNMachine,TDNID
TDNPreviousPIN,TDNID,TDNMachine,TDNID
view_TDNSearchLookUpCityBased,TDNID,TDNMachine,TDNID
view_TDNSearchLookUpProvinceBased,TDNID,TDNMachine,TDNID
view_TDNTaxDecProvince,TDNID,TDNMachine,TDNID
view_TaxDecDetail,TDNID,TDNMachine,TDNID
CertifiedTrueCopyTable,TDNID,TDNMachine,TDNID
view_TDNTaxDecCity,TDNID,TDNMachine,TDNID
TDN_Attachment,TDNID,TDNMachine,TDNID
View_FAASBuilding,TDNId,TDNMachine,TDNID
TDNDetail,TDNId,TDNMachine,TDNID
TDN_Images,TDNID,TDNMachine,TDNID
View_FAASImprovement,TDNId,TDNMachine,TDNID
TDNBaseValueAdjustment,TDNId,TDNMachine,TDNID
View_TDNLandBackTax,TDNID,TDNMachine,TDNID
TDNLand,TDNID,TDNMachine,TDNID
TDNBackTax,TDNID,TDNMachine,TDNID
TDNBuilding,TDNID,TDNMachine,TDNID
View_PrintTaxDecProvince,TDNID,TDNMachine,TDNID
tempMachdb,TDNID,TDNMachine,TDNID
TDNFAASSketch,TDNID,TDNMachine,TDNID
ImageCache,TDNID,TDNMachine,TDNID
TDNHistory,TDNID,TDNMachine,TDNID
View_TDNLandDetail,TDNID,TDNMachine,TDNID
View_TDNLandAppraisal,TDNID,TDNMachine,TDNID
view_MachineApraisal,TDNID,TDNMachine,TDNID
View_TDNDetail,TDNId,TDNMachine,TDNID
View_TDNBuildingDetail,TDNID,TDNMachine,TDNID
View_PrintTaxDecCity,TDNID,TDNMachine,TDNID
TOStempQuarterlyRPTC,TDNID,TDNMachine,TDNID
View_DemolishedProp,TDNID,TDNMachine,TDNID
TDN,TDNID,TDNMachine,TDNID
stagtbl,TDNID,TDNMachine,TDNID
view_TDNLandImprovements,TDNID,TDNMachine,TDNID
tempTDN,TDNID,TDNMachine,TDNID
view_MachineApraisal,PreviousTDNMachineId,TDNMachine,PreviousTDNMachineId
tempMachdb,PreviousTDNMachineId,TDNMachine,PreviousTDNMachineId
QuarterlyTable,BarangayID,aBuilding,BarangayId
QuarterlyTableActive,BarangayID,aBuilding,BarangayId
View_BarangayLookUp,BarangayId,aBuilding,BarangayId
view_BarangayCityLookUp,BarangayId,aBuilding,BarangayId
View_tdn,BarangayId,aBuilding,BarangayId
LocationStreet,BarangayID,aBuilding,BarangayId
PStreet,BarangayId,aBuilding,BarangayId
PSubdivision,BarangayId,aBuilding,BarangayId
AssessmentRollSEFBasic,BarangayId,aBuilding,BarangayId
SummaryRPUAssessed,BarangayID,aBuilding,BarangayId
QuarterlyTableOld,BarangayID,aBuilding,BarangayId
RPUSummaryPerBarangayTable,BarangayID,aBuilding,BarangayId
TDNSubdivisionTempTable,BarangayID,aBuilding,BarangayId
ASubClassification,BarangayID,aBuilding,BarangayId
PStreetOld,BarangayId,aBuilding,BarangayId
RecordsOfAssessmentTable,BarangayID,aBuilding,BarangayId
View_StreetAssessment,BarangayId,aBuilding,BarangayId
QuarterlyTableCancelled,BarangayID,aBuilding,BarangayId
aStreet,BarangayId,aBuilding,BarangayId
PStreetOld,StreetId,aBuilding,StreetId
ASubClassification,StreetID,aBuilding,StreetId
PStreetAssessment,StreetID,aBuilding,StreetId
aStreet,StreetId,aBuilding,StreetId
QuarterlyTableActive,UserId,QuarterlyTable,UserId
TOSReservedRPTOPNum,UserID,QuarterlyTable,UserId
ORHistoryPATAS,UserID,QuarterlyTable,UserId
QuarterlyTableOld,UserId,QuarterlyTable,UserId
TDNSubdivisionTempTable,UserID,QuarterlyTable,UserId
PUser,UserId,QuarterlyTable,UserId
view_MachineApraisal,UserId,QuarterlyTable,UserId
View_PrintTaxDecCity,UserId,QuarterlyTable,UserId
TDNTEMP,UserId,QuarterlyTable,UserId
ORHistory,UserID,QuarterlyTable,UserId
tempTDN,UserId,QuarterlyTable,UserId
QuarterlyTableCancelled,UserId,QuarterlyTable,UserId
UserORStatus,UserID,QuarterlyTable,UserId
TDN,UserId,QuarterlyTable,UserId
QuarterlyTableActive,LGUID,QuarterlyTable,LGUID
QuarterlyTableCancelled,LGUID,QuarterlyTable,LGUID
View_StreetAssessment,LGUID,QuarterlyTable,LGUID
AssessmentRollSEFBasic,LGUID,QuarterlyTable,LGUID
PStreetOld,LGUID,QuarterlyTable,LGUID
QuarterlyTableOld,LGUID,QuarterlyTable,LGUID
PStreet,LGUID,QuarterlyTable,LGUID
PSubdivision,LGUID,QuarterlyTable,LGUID
QuarterlyTableActive,MunicipalityID,QuarterlyTable,MunicipalityID
QuarterlyTableCancelled,MunicipalityID,QuarterlyTable,MunicipalityID
UserORStatus,MunicipalityID,QuarterlyTable,MunicipalityID
ORHistory,MunicipalityID,QuarterlyTable,MunicipalityID
PStreet,MunicipalityID,QuarterlyTable,MunicipalityID
PSubdivision,MunicipalityID,QuarterlyTable,MunicipalityID
View_StreetAssessment,MunicipalityID,QuarterlyTable,MunicipalityID
ASubClassification,MunicipalityID,QuarterlyTable,MunicipalityID
PStreetOld,MunicipalityID,QuarterlyTable,MunicipalityID
ALandAssessmentLevel,MunicipalityID,QuarterlyTable,MunicipalityID
QuarterlyTableOld,MunicipalityID,QuarterlyTable,MunicipalityID
aBuilding,BarangayId,QuarterlyTable,BarangayID
QuarterlyTableActive,BarangayID,QuarterlyTable,BarangayID
View_BarangayLookUp,BarangayId,QuarterlyTable,BarangayID
view_BarangayCityLookUp,BarangayId,QuarterlyTable,BarangayID
View_tdn,BarangayId,QuarterlyTable,BarangayID
LocationStreet,BarangayID,QuarterlyTable,BarangayID
PStreet,BarangayId,QuarterlyTable,BarangayID
PSubdivision,BarangayId,QuarterlyTable,BarangayID
AssessmentRollSEFBasic,BarangayId,QuarterlyTable,BarangayID
SummaryRPUAssessed,BarangayID,QuarterlyTable,BarangayID
QuarterlyTableOld,BarangayID,QuarterlyTable,BarangayID
RPUSummaryPerBarangayTable,BarangayID,QuarterlyTable,BarangayID
TDNSubdivisionTempTable,BarangayID,QuarterlyTable,BarangayID
ASubClassification,BarangayID,QuarterlyTable,BarangayID
PStreetOld,BarangayId,QuarterlyTable,BarangayID
RecordsOfAssessmentTable,BarangayID,QuarterlyTable,BarangayID
View_StreetAssessment,BarangayId,QuarterlyTable,BarangayID
QuarterlyTableCancelled,BarangayID,QuarterlyTable,BarangayID
aStreet,BarangayId,QuarterlyTable,BarangayID
CoOwners,TDNID,TDNPreviousPIN,TDNID
View_TDNCoOwners,TDNID,TDNPreviousPIN,TDNID
TDNPreviousARP,TDNID,TDNPreviousPIN,TDNID
TDNMachine,TDNID,TDNPreviousPIN,TDNID
view_TDNSearchLookUpCityBased,TDNID,TDNPreviousPIN,TDNID
view_TDNSearchLookUpProvinceBased,TDNID,TDNPreviousPIN,TDNID
view_TDNTaxDecProvince,TDNID,TDNPreviousPIN,TDNID
view_TaxDecDetail,TDNID,TDNPreviousPIN,TDNID
CertifiedTrueCopyTable,TDNID,TDNPreviousPIN,TDNID
view_TDNTaxDecCity,TDNID,TDNPreviousPIN,TDNID
TDN_Attachment,TDNID,TDNPreviousPIN,TDNID
View_FAASBuilding,TDNId,TDNPreviousPIN,TDNID
TDNDetail,TDNId,TDNPreviousPIN,TDNID
TDN_Images,TDNID,TDNPreviousPIN,TDNID
View_FAASImprovement,TDNId,TDNPreviousPIN,TDNID
TDNBaseValueAdjustment,TDNId,TDNPreviousPIN,TDNID
View_TDNLandBackTax,TDNID,TDNPreviousPIN,TDNID
TDNLand,TDNID,TDNPreviousPIN,TDNID
TDNBackTax,TDNID,TDNPreviousPIN,TDNID
TDNBuilding,TDNID,TDNPreviousPIN,TDNID
View_PrintTaxDecProvince,TDNID,TDNPreviousPIN,TDNID
tempMachdb,TDNID,TDNPreviousPIN,TDNID
TDNFAASSketch,TDNID,TDNPreviousPIN,TDNID
ImageCache,TDNID,TDNPreviousPIN,TDNID
TDNHistory,TDNID,TDNPreviousPIN,TDNID
View_TDNLandDetail,TDNID,TDNPreviousPIN,TDNID
View_TDNLandAppraisal,TDNID,TDNPreviousPIN,TDNID
view_MachineApraisal,TDNID,TDNPreviousPIN,TDNID
View_TDNDetail,TDNId,TDNPreviousPIN,TDNID
View_TDNBuildingDetail,TDNID,TDNPreviousPIN,TDNID
View_PrintTaxDecCity,TDNID,TDNPreviousPIN,TDNID
TOStempQuarterlyRPTC,TDNID,TDNPreviousPIN,TDNID
View_DemolishedProp,TDNID,TDNPreviousPIN,TDNID
TDN,TDNID,TDNPreviousPIN,TDNID
stagtbl,TDNID,TDNPreviousPIN,TDNID
view_TDNLandImprovements,TDNID,TDNPreviousPIN,TDNID
tempTDN,TDNID,TDNPreviousPIN,TDNID
TDNMachine,TDNMachineId,TDNMachineDetail,TDNMachineId
tempMachdb,TDNMachineId,TDNMachineDetail,TDNMachineId
view_MachineApraisal,TDNMachineId,TDNMachineDetail,TDNMachineId
TDN,ClassificationId,TDNMachineDetail,ClassificationId
temp_PStreetAssessment,ClassificationID,TDNMachineDetail,ClassificationId
PStreetAssessment,ClassificationID,TDNMachineDetail,ClassificationId
ALandAdjustment,ClassificationID,TDNMachineDetail,ClassificationId
AMachineAssessmentLevel,ClassificationId,TDNMachineDetail,ClassificationId
TDNLandDetail,ClassificationID,TDNMachineDetail,ClassificationId
TDNBackTax,Classificationid,TDNMachineDetail,ClassificationId
AActualUse,ClassificationID,TDNMachineDetail,ClassificationId
View_PrintTaxDecCity,ClassificationId,TDNMachineDetail,ClassificationId
ASubClassification,ClassificationId,TDNMachineDetail,ClassificationId
PStreetOld,ClassificationID,TDNMachineDetail,ClassificationId
tempTDN,ClassificationId,TDNMachineDetail,ClassificationId
View_StreetAssessment,ClassificationId,TDNMachineDetail,ClassificationId
View_TDNLandAppraisal,ClassificationId,TDNMachineDetail,ClassificationId
view_MachineApraisal,ClassificationId,TDNMachineDetail,ClassificationId
TDNBuildingSucceedingFloor,ActualUseId,TDNMachineDetail,ActualUseid
TDN,ActualUseId,TDNMachineDetail,ActualUseid
ALandAdjustment,ActualUseID,TDNMachineDetail,ActualUseid
TDNHistory,ActualUseID,TDNMachineDetail,ActualUseid
TDNLandDetail,ActualUseId,TDNMachineDetail,ActualUseid
TDNBackTax,ActualUseId,TDNMachineDetail,ActualUseid
View_PrintTaxDecCity,ActualUseId,TDNMachineDetail,ActualUseid
ASubClassification,ActualUseId,TDNMachineDetail,ActualUseid
ABuildingAssessmentLevel,Actualuseid,TDNMachineDetail,ActualUseid
ABuildingDepreciation,ActualUseID,TDNMachineDetail,ActualUseid
tempTDN,ActualUseId,TDNMachineDetail,ActualUseid
view_MachineApraisal,ActualUseId,TDNMachineDetail,ActualUseid
QuarterlyTable,UserId,QuarterlyTableActive,UserId
TOSReservedRPTOPNum,UserID,QuarterlyTableActive,UserId
ORHistoryPATAS,UserID,QuarterlyTableActive,UserId
QuarterlyTableOld,UserId,QuarterlyTableActive,UserId
TDNSubdivisionTempTable,UserID,QuarterlyTableActive,UserId
PUser,UserId,QuarterlyTableActive,UserId
view_MachineApraisal,UserId,QuarterlyTableActive,UserId
View_PrintTaxDecCity,UserId,QuarterlyTableActive,UserId
TDNTEMP,UserId,QuarterlyTableActive,UserId
ORHistory,UserID,QuarterlyTableActive,UserId
tempTDN,UserId,QuarterlyTableActive,UserId
QuarterlyTableCancelled,UserId,QuarterlyTableActive,UserId
UserORStatus,UserID,QuarterlyTableActive,UserId
TDN,UserId,QuarterlyTableActive,UserId
QuarterlyTable,LGUID,QuarterlyTableActive,LGUID
QuarterlyTableCancelled,LGUID,QuarterlyTableActive,LGUID
View_StreetAssessment,LGUID,QuarterlyTableActive,LGUID
AssessmentRollSEFBasic,LGUID,QuarterlyTableActive,LGUID
PStreetOld,LGUID,QuarterlyTableActive,LGUID
QuarterlyTableOld,LGUID,QuarterlyTableActive,LGUID
PStreet,LGUID,QuarterlyTableActive,LGUID
PSubdivision,LGUID,QuarterlyTableActive,LGUID
QuarterlyTable,MunicipalityID,QuarterlyTableActive,MunicipalityID
QuarterlyTableCancelled,MunicipalityID,QuarterlyTableActive,MunicipalityID
UserORStatus,MunicipalityID,QuarterlyTableActive,MunicipalityID
ORHistory,MunicipalityID,QuarterlyTableActive,MunicipalityID
PStreet,MunicipalityID,QuarterlyTableActive,MunicipalityID
PSubdivision,MunicipalityID,QuarterlyTableActive,MunicipalityID
View_StreetAssessment,MunicipalityID,QuarterlyTableActive,MunicipalityID
ASubClassification,MunicipalityID,QuarterlyTableActive,MunicipalityID
PStreetOld,MunicipalityID,QuarterlyTableActive,MunicipalityID
ALandAssessmentLevel,MunicipalityID,QuarterlyTableActive,MunicipalityID
QuarterlyTableOld,MunicipalityID,QuarterlyTableActive,MunicipalityID
aBuilding,BarangayId,QuarterlyTableActive,BarangayID
QuarterlyTable,BarangayID,QuarterlyTableActive,BarangayID
View_BarangayLookUp,BarangayId,QuarterlyTableActive,BarangayID
view_BarangayCityLookUp,BarangayId,QuarterlyTableActive,BarangayID
View_tdn,BarangayId,QuarterlyTableActive,BarangayID
LocationStreet,BarangayID,QuarterlyTableActive,BarangayID
PStreet,BarangayId,QuarterlyTableActive,BarangayID
PSubdivision,BarangayId,QuarterlyTableActive,BarangayID
AssessmentRollSEFBasic,BarangayId,QuarterlyTableActive,BarangayID
SummaryRPUAssessed,BarangayID,QuarterlyTableActive,BarangayID
QuarterlyTableOld,BarangayID,QuarterlyTableActive,BarangayID
RPUSummaryPerBarangayTable,BarangayID,QuarterlyTableActive,BarangayID
TDNSubdivisionTempTable,BarangayID,QuarterlyTableActive,BarangayID
ASubClassification,BarangayID,QuarterlyTableActive,BarangayID
PStreetOld,BarangayId,QuarterlyTableActive,BarangayID
RecordsOfAssessmentTable,BarangayID,QuarterlyTableActive,BarangayID
View_StreetAssessment,BarangayId,QuarterlyTableActive,BarangayID
QuarterlyTableCancelled,BarangayID,QuarterlyTableActive,BarangayID
aStreet,BarangayId,QuarterlyTableActive,BarangayID
ASignatories,SignatoryId,aSignatory,SignatoryID
ASignatoryAssignment,SignatoryID,aSignatory,SignatoryID
QuarterlyTable,UserId,QuarterlyTableCancelled,UserId
QuarterlyTableActive,UserId,QuarterlyTableCancelled,UserId
TOSReservedRPTOPNum,UserID,QuarterlyTableCancelled,UserId
ORHistoryPATAS,UserID,QuarterlyTableCancelled,UserId
QuarterlyTableOld,UserId,QuarterlyTableCancelled,UserId
TDNSubdivisionTempTable,UserID,QuarterlyTableCancelled,UserId
PUser,UserId,QuarterlyTableCancelled,UserId
view_MachineApraisal,UserId,QuarterlyTableCancelled,UserId
View_PrintTaxDecCity,UserId,QuarterlyTableCancelled,UserId
TDNTEMP,UserId,QuarterlyTableCancelled,UserId
ORHistory,UserID,QuarterlyTableCancelled,UserId
tempTDN,UserId,QuarterlyTableCancelled,UserId
UserORStatus,UserID,QuarterlyTableCancelled,UserId
TDN,UserId,QuarterlyTableCancelled,UserId
QuarterlyTable,LGUID,QuarterlyTableCancelled,LGUID
QuarterlyTableActive,LGUID,QuarterlyTableCancelled,LGUID
View_StreetAssessment,LGUID,QuarterlyTableCancelled,LGUID
AssessmentRollSEFBasic,LGUID,QuarterlyTableCancelled,LGUID
PStreetOld,LGUID,QuarterlyTableCancelled,LGUID
QuarterlyTableOld,LGUID,QuarterlyTableCancelled,LGUID
PStreet,LGUID,QuarterlyTableCancelled,LGUID
PSubdivision,LGUID,QuarterlyTableCancelled,LGUID
QuarterlyTable,MunicipalityID,QuarterlyTableCancelled,MunicipalityID
QuarterlyTableActive,MunicipalityID,QuarterlyTableCancelled,MunicipalityID
UserORStatus,MunicipalityID,QuarterlyTableCancelled,MunicipalityID
ORHistory,MunicipalityID,QuarterlyTableCancelled,MunicipalityID
PStreet,MunicipalityID,QuarterlyTableCancelled,MunicipalityID
PSubdivision,MunicipalityID,QuarterlyTableCancelled,MunicipalityID
View_StreetAssessment,MunicipalityID,QuarterlyTableCancelled,MunicipalityID
ASubClassification,MunicipalityID,QuarterlyTableCancelled,MunicipalityID
PStreetOld,MunicipalityID,QuarterlyTableCancelled,MunicipalityID
ALandAssessmentLevel,MunicipalityID,QuarterlyTableCancelled,MunicipalityID
QuarterlyTableOld,MunicipalityID,QuarterlyTableCancelled,MunicipalityID
aBuilding,BarangayId,QuarterlyTableCancelled,BarangayID
QuarterlyTable,BarangayID,QuarterlyTableCancelled,BarangayID
QuarterlyTableActive,BarangayID,QuarterlyTableCancelled,BarangayID
View_BarangayLookUp,BarangayId,QuarterlyTableCancelled,BarangayID
view_BarangayCityLookUp,BarangayId,QuarterlyTableCancelled,BarangayID
View_tdn,BarangayId,QuarterlyTableCancelled,BarangayID
LocationStreet,BarangayID,QuarterlyTableCancelled,BarangayID
PStreet,BarangayId,QuarterlyTableCancelled,BarangayID
PSubdivision,BarangayId,QuarterlyTableCancelled,BarangayID
AssessmentRollSEFBasic,BarangayId,QuarterlyTableCancelled,BarangayID
SummaryRPUAssessed,BarangayID,QuarterlyTableCancelled,BarangayID
QuarterlyTableOld,BarangayID,QuarterlyTableCancelled,BarangayID
RPUSummaryPerBarangayTable,BarangayID,QuarterlyTableCancelled,BarangayID
TDNSubdivisionTempTable,BarangayID,QuarterlyTableCancelled,BarangayID
ASubClassification,BarangayID,QuarterlyTableCancelled,BarangayID
PStreetOld,BarangayId,QuarterlyTableCancelled,BarangayID
RecordsOfAssessmentTable,BarangayID,QuarterlyTableCancelled,BarangayID
View_StreetAssessment,BarangayId,QuarterlyTableCancelled,BarangayID
aStreet,BarangayId,QuarterlyTableCancelled,BarangayID
QuarterlyTable,UserId,UserORStatus,UserID
QuarterlyTableActive,UserId,UserORStatus,UserID
TOSReservedRPTOPNum,UserID,UserORStatus,UserID
ORHistoryPATAS,UserID,UserORStatus,UserID
QuarterlyTableOld,UserId,UserORStatus,UserID
TDNSubdivisionTempTable,UserID,UserORStatus,UserID
PUser,UserId,UserORStatus,UserID
view_MachineApraisal,UserId,UserORStatus,UserID
View_PrintTaxDecCity,UserId,UserORStatus,UserID
TDNTEMP,UserId,UserORStatus,UserID
ORHistory,UserID,UserORStatus,UserID
tempTDN,UserId,UserORStatus,UserID
